,moblie_title,price,battery
0,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,499</div>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
1,"realme 9 5G (Stargaze White, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹17,499</div>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
2,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,499</div>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
3,"GIONEE Max Pro (Red, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹6,999</div>","<li class=""rgWa7D"">6000 mAh Lithium Polymer Battery</li>"
4,"REDMI Note 10S (Deep Sea Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
5,"realme 9 5G (Meteor Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
6,"REDMI Note 10S (Cosmic Purple, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
7,"I Kall Z6 Premium (Dark Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹7,499</div>","<li class=""rgWa7D"">4000 mAh Battery</li>"
8,"REDMI Note 10S (Shadow Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
9,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹10,499</div>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
10,"realme 9 5G (Stargaze White, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
11,"I Kall Z10 (SKY BLUE, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹7,999</div>","<li class=""rgWa7D"">5000 mAh Battery</li>"
12,"REDMI Note 10S (Frost White, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<li class=""rgWa7D"">5000 mAh Lithium-Ploymer Battery</li>"
13,"realme 9 5G (Meteor Black, 128 GB)","<div class=""_30jeq3 _1_WHN1"">₹17,499</div>","<li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li>"
14,"POCO C31 (Royal Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,499</div>","<li class=""rgWa7D"">5000 mAh Lithium-ion Polymer Battery</li>"
15,"I Kall Z7 Ultra Series (Blue, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹6,499</div>","<li class=""rgWa7D"">4000 mAh Battery</li>"
16,"REDMI 9i Sport (Metallic Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,799</div>","<li class=""rgWa7D"">5000 mAh Li-Polymer Battery</li>"
17,"REDMI 10 (Pacific Blue, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">6000 mAh Lithium Polymer Battery</li>"
18,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹10,499</div>","<li class=""rgWa7D"">6000 mAh Lithium-ion Battery</li>"
19,"I Kall Z7 (Blue, 32 GB)","<div class=""_30jeq3 _1_WHN1"">₹6,499</div>","<li class=""rgWa7D"">4000 mAh Battery</li>"
20,"MOTOROLA e40 (Carbon Gray, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">5000 mAh Battery</li>"
21,"REDMI 9i Sport (Coral Green, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹8,799</div>","<li class=""rgWa7D"">5000 mAh Li-Polymer Battery</li>"
22,"REDMI 10 (Midnight Black, 64 GB)","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>","<li class=""rgWa7D"">6000 mAh Lithium Polymer Battery</li>"
23,"I Kall Z8 (Blue, 16 GB)","<div class=""_30jeq3 _1_WHN1"">₹4,699</div>","<li class=""rgWa7D"">2800 mAh Battery</li>"
